mp_name,constituency,region,country,party,party_abbreviation,signed_call
Andy MacNae,Rossendale and Darwen,North West,England,Labour,Lab,FALSE
Jake Richards,Rother Valley,Yorkshire and The Humber,England,Labour,Lab,FALSE
Sarah Champion,Rotherham,Yorkshire and The Humber,England,Labour,Lab,FALSE
John Slinger,Rugby,West Midlands,England,Labour,Lab,FALSE
David Simmonds,"Ruislip, Northwood and Pinner",London,England,Conservative,Con,FALSE
Sarah Pochin,Runcorn and Helsby,North West,England,Reform UK,REF,FALSE
Ben Spencer,Runnymede and Weybridge,South East,England,Conservative,Con,FALSE
James Naish,Rushcliffe,East Midlands,England,Labour,Lab,FALSE
Michael Shanks,Rutherglen,Scotland,Scotland,Labour,Lab,FALSE
Alicia Kearns,Rutland and Stamford,East Midlands,England,Conservative,Con,FALSE
Rebecca Long-Bailey,Salford,North West,England,Labour,Lab,FALSE
John Glen,Salisbury,South West,England,Conservative,Con,FALSE
Alison Hume,Scarborough and Whitby,Yorkshire and The Humber,England,Labour,Lab,FALSE
Nicholas Dakin,Scunthorpe,Yorkshire and The Humber,England,Labour,Lab,FALSE
Bill Esterson,Sefton Central,North West,England,Labour,Lab,FALSE
Keir Mather,Selby,Yorkshire and The Humber,England,Labour,Lab,FALSE
Laura Trott,Sevenoaks,South East,England,Conservative,Con,FALSE
Gill Furniss,Sheffield Brightside and Hillsborough,Yorkshire and The Humber,England,Labour,Lab,FALSE
Abtisam Mohamed,Sheffield Central,Yorkshire and The Humber,England,Labour,Lab,FALSE
Olivia Blake,Sheffield Hallam,Yorkshire and The Humber,England,Labour,Lab,TRUE
Louise Haigh,Sheffield Heeley,Yorkshire and The Humber,England,Labour,Lab,FALSE
Clive Betts,Sheffield South East,Yorkshire and The Humber,England,Labour,Lab,FALSE
Michelle Welsh,Sherwood Forest,East Midlands,England,Labour,Lab,FALSE
Anna Dixon,Shipley,Yorkshire and The Humber,England,Labour,Lab,FALSE
Julia Buckley,Shrewsbury,West Midlands,England,Labour,Lab,FALSE
Kevin McKenna,Sittingbourne and Sheppey,South East,England,Labour,Lab,FALSE
Julian Smith,Skipton and Ripon,Yorkshire and The Humber,England,Conservative,Con,FALSE
Caroline Johnson,Sleaford and North Hykeham,East Midlands,England,Conservative,Con,FALSE
Tan Dhesi,Slough,South East,England,Labour,Lab,FALSE
Gurinder Josan,Smethwick,West Midlands,England,Labour,Lab,FALSE
Neil Shastri-Hurst,Solihull West and Shirley,West Midlands,England,Conservative,Con,FALSE
Robin Swann,South Antrim,Northern Ireland,Northern Ireland,Ulster Unionist Party,UUP,FALSE
James McMurdock,South Basildon and East Thurrock,East of England,England,Reform UK,RUK,FALSE
Pippa Heylings,South Cambridgeshire,East of England,England,Liberal Democrat,LD,TRUE
Roz Savage,South Cotswolds,South West,England,Liberal Democrat,LD,TRUE
Samantha Niblett,South Derbyshire,East Midlands,England,Labour,Lab,FALSE
Caroline Voaden,South Devon,South West,England,Liberal Democrat,LD,TRUE
Lloyd Hatton,South Dorset,South West,England,Labour,Lab,TRUE
Chris Hazzard,South Down,Northern Ireland,Northern Ireland,Sinn Fein,SF,FALSE
Anna Gelderd,South East Cornwall,South West,England,Labour,Lab,FALSE
John Hayes,South Holland and The Deepings,East Midlands,England,Conservative,Con,FALSE
Alberto Costa,South Leicestershire,East Midlands,England,Conservative,Con,FALSE
Ben Goldsborough,South Norfolk,East of England,England,Labour,Lab,FALSE
Sarah Bool,South Northamptonshire,East Midlands,England,Conservative,Con,FALSE
Paul Foster,South Ribble,North West,England,Labour,Lab,FALSE
Emma Lewell-Buck,South Shields,North East,England,Labour,Lab,FALSE
Stuart Anderson,South Shropshire,West Midlands,England,Conservative,Con,FALSE
James Cartlidge,South Suffolk,East of England,England,Conservative,Con,FALSE
Rebecca Smith,South West Devon,South West,England,Conservative,Con,FALSE
Gagan Mohindra,South West Hertfordshire,East of England,England,Conservative,Con,FALSE
Terry Jermy,South West Norfolk,East of England,England,Labour,Lab,TRUE
Andrew Murrison,South West Wiltshire,South West,England,Conservative,Con,FALSE
Darren Paffey,Southampton Itchen,South East,England,Labour,Lab,FALSE
Satvir Kaur,Southampton Test,South East,England,Labour,Lab,FALSE
Bayo Alaba,Southend East and Rochford,East of England,England,Labour,Lab,FALSE
David Burton-Sampson,Southend West and Leigh,East of England,England,Labour,Lab,FALSE
Bambos Charalambous,Southgate and Wood Green,London,England,Labour,Lab,FALSE
Patrick Hurley,Southport,North West,England,Labour,Lab,FALSE
Lincoln Jopp,Spelthorne,South East,England,Conservative,Con,FALSE
Kim Leadbeater,Spen Valley,Yorkshire and The Humber,England,Labour,Lab,FALSE
Daisy Cooper,St Albans,East of England,England,Liberal Democrat,LD,TRUE
Noah Law,St Austell and Newquay,South West,England,Labour,Lab,FALSE
David Baines,St Helens North,North West,England,Labour,Lab,FALSE
Marie Rimmer,St Helens South and Whiston,North West,England,Labour,Lab,FALSE
Andrew George,St Ives,South West,England,Liberal Democrat,LD,TRUE
Ian Sollom,St Neots and Mid Cambridgeshire,East of England,England,Liberal Democrat,LD,FALSE
Leigh Ingham,Stafford,West Midlands,England,Labour,Lab,FALSE
Karen Bradley,Staffordshire Moorlands,West Midlands,England,Conservative,Con,FALSE
Jonathan Reynolds,Stalybridge and Hyde,North West,England,Labour and Co-operative,Lab,FALSE
Kevin Bonavia,Stevenage,East of England,England,Labour,Lab,FALSE
Chris Kane,Stirling and Strathallan,Scotland,Scotland,Labour,Lab,FALSE
Navendu Mishra,Stockport,North West,England,Labour,Lab,FALSE
Chris McDonald,Stockton North,North East,England,Labour,Lab,FALSE
Matt Vickers,Stockton West,North East,England,Conservative,Con,FALSE
Gareth Snell,Stoke-on-Trent Central,West Midlands,England,Labour and Co-operative,Lab,FALSE
David Williams,Stoke-on-Trent North,West Midlands,England,Labour,Lab,FALSE
Allison Gardner,Stoke-on-Trent South,West Midlands,England,Labour,Lab,FALSE
Gavin Williamson,"Stone, Great Wyrley and Penkridge",West Midlands,England,Conservative,Con,FALSE
Cat Eccles,Stourbridge,West Midlands,England,Labour,Lab,FALSE
Jim Shannon,Strangford,Northern Ireland,Northern Ireland,Democratic Unionist Party,DUP,FALSE
Uma Kumaran,Stratford and Bow,London,England,Labour,Lab,FALSE
Manuela Perteghella,Stratford-on-Avon,West Midlands,England,Liberal Democrat,LD,FALSE
Steve Reed,Streatham and Croydon North,London,England,Labour and Co-operative,Lab,FALSE
Andrew Western,Stretford and Urmston,North West,England,Labour,Lab,FALSE
Simon Opher,Stroud,South West,England,Labour,Lab,TRUE
Jenny Riddell-Carpenter,Suffolk Coastal,East of England,England,Labour,Lab,FALSE
Lewis Atkinson,Sunderland Central,North East,England,Labour,Lab,FALSE
Al Pinkerton,Surrey Heath,South East,England,Liberal Democrat,LD,TRUE
